word,meaning
zamplar,exemplary
zampol,example
zamrar,fright
zanak,abandon
zanan,delve
zanlan,exhibit
zanret,exonerate
zanzeq,war
zanzim,transpose
zap,zap
zapam,fury
zaqkan,scene
zaqlip,funeral
zaran,tragedy
zarat,sow
zark,open
zarn,alien
zasbet,exacerbate
zasot,recognise
zaspret,exasperate
zatad,march (foot)
zatik,exotic
zatin,anxiety
zav,lie
zavit,angle
zaxam,slink
zem,plasma (matter)
zenton,monotone
zenxip,authentic
zeqdul,scramble
zeqzam,flounder
zeqzik,integrity
zeqzit,politics
zestok,zest
zet,olive (color)
zetzol,pucker
zevak,sacrifice
zidjek,direct (immediate)
zidjul,sentience
zifat,tar
zigzag,zigzag
zikap,affinity
zikuk,flare
zikxur,philosophy
zil,perspective
zilam,xylem
zilant,resilient
zimzum,contraction
zin,decision
zindaq,oscillate
zinuk,dash (spurt)
zip,graph
ziprat,zip
ziq,zing
zir,pertaining to x (pleasantry)
ziram,movement (political/etc.)
ziraz,catalyze
ziret,factorial (math)
zirok,consume
zist,resist
zisum,pollute
zital,stance
zivon,style
zixal,least
zizant,representative
zizut,haste
zofin,cipher
zondak,crucial
zonlaq,weight
zonsur,zone out
zorn,ear
zotet,eavesdrop
zuk,where
zul,animal
zulaq,earn
zumom,plot
zupon,conceal
zur,fall
zus,experience
zuzal,book
